Ticker,Report Date,P/E Ratio (TTM),P/S Ratio (TTM),P/B Ratio,EV/EBITDA (TTM),ROE,Debt-to-Equity,Current Ratio
MMM,2025-08-14,21.787203,3.3914514,19.449963,16.386,0.9476,316.755,1.72
AOS,2025-08-14,20.200556,2.681185,5.5051994,27.071,0.27603,18.035,1.647
ABT,2025-08-14,16.220829,5.2194824,4.4497986,20.228,0.30931,26.501,1.821
ACN,2025-08-14,19.567568,2.2388408,5.0170183,12.963,0.26928,25.881,1.461
ADBE,2025-08-14,22.316261,6.542526,13.001864,16.861,0.52254003,57.486,0.993
AMD,2025-08-14,107.708336,9.920706,4.9191246,53.957,0.04699,6.513,2.491
AES,2025-08-14,9.953846,0.7657851,2.7345731,14.736,0.01742,313.243,0.823
AFL,2025-08-14,23.716217,3.539768,2.07043,18.036,0.09154,55.055,1.219
A,2025-08-14,29.206388,5.0945697,5.5004396,19.819,0.18882999,60.039,2.091
APD,2025-08-14,41.383854,5.3926144,4.1849174,19.168,0.09336001,103.39,1.292
ABNB,2025-08-14,30.252428,6.589732,9.818039,25.313,0.33262002,29.324,1.232
AKAM,2025-08-14,26.243816,2.608039,2.4704785,13.143,0.092080005,117.988,2.31
ALGN,2025-08-14,24.135136,2.6122003,2.6469064,12.244,0.1141,3.144,1.227
ALLE,2025-08-14,23.442282,3.7325046,8.099082,17.275,0.38994,124.847,2.303
LNT,2025-08-14,19.97531,4.0132804,2.3276389,15.321,0.119399995,158.251,0.572
ALL,2025-08-14,9.816557,0.83049154,2.502338,7.337,0.27005,33.705,0.444
GOOGL,2025-08-14,21.658485,6.6241455,6.768502,16.963,0.34829,11.481,1.904
GOOG,2025-08-14,21.729212,6.617802,6.7978525,17.054,0.34829,11.481,1.904
AMZN,2025-08-14,35.210365,3.6764755,7.37696,18.391,0.2477,47.808,1.024
AMCR,2025-08-14,15.642858,1.4910221,3.2858217,11.393,0.20796,241.41,1.701
AEE,2025-08-14,22.292307,3.3782096,2.2272727,14.462,0.102189995,160.58,0.801
AEP,2025-08-14,16.548388,2.9204936,2.019721,12.577,0.13013,150.71,0.552
AXP,2025-08-14,21.610254,3.3757982,6.6286836,,0.32808,187.933,1.603
AIG,2025-08-14,15.011215,1.6240349,1.083221,4.872,0.07604,22.293,0.632
AMT,2025-08-14,38.029907,9.285972,25.657,21.96,0.24281,431.469,0.614
AWK,2025-08-14,25.83964,5.6615033,2.619265,16.1,0.10396,141.097,0.351
AMP,2025-08-14,16.01278,2.6637173,7.9738293,,0.58239,57.793,2.497
AME,2025-08-14,29.755234,6.1138253,4.1078653,20.299,0.14639,21.164,1.633
AMGN,2025-08-14,23.716505,4.4757886,21.037033,12.703,0.99139,756.651,1.306
APH,2025-08-14,43.944443,7.184859,11.72969,26.645,0.31049,69.505,2.016
ADI,2025-08-14,64.1875,11.93837,3.3480744,28.086,0.05213,20.62,2.077
AON,2025-08-14,30.863522,4.7155538,10.075356,18.294,0.37410998,224.725,1.028
APA,2025-08-14,7.089965,0.7477595,1.2449117,2.189,0.20436001,67.565,0.805
APO,2025-08-14,26.246267,3.1964073,4.489835,,0.16735001,102.676,1.832
AAPL,2025-08-14,35.3769,8.45408,52.534412,24.765,1.49814,154.486,0.868
