ticker,sector,undervaluation_score,V_abs,V_rel,quality_bonus_pts,risk_penalty_pts,redflag_pts,sector_relief_pts,pe_ttm,ev_ebitda,pb,ps,fcf_yield,roe_calc,ebitda_margin,net_debt_ebitda,interest_coverage,mkt_cap,ev,price_now,shares_diluted_latest,revenue_ttm,net_income_ttm,ebitda_ttm,equity_latest,debt_total_latest,cash_and_equivalents,current_ratio
HAL,ENERGY & TRANSPORTATION,2.0,2.003434225181247,2.1438390169733452,0.3219827586206896,0.7048872180451127,0.0,0.0,5.4254354539839404,4.320699193238571,1.6723046168491196,,,0.3082341742027606,,0.9462159047253169,,17567560000.0,22493560000.0,20.38,862000000.0,,3238000000.0,5206000000.0,10505000000.0,7544000000.0,2618000000.0,1.9970910335386722
MPC,ENERGY & TRANSPORTATION,2.0,2.452034674604321,2.8207704331771497,0.5370073891625615,0.437593984962406,0.0,0.0,9.610694288913773,4.652814497067321,3.0975757940327244,0.21786392733088228,0.17335966644722403,0.3223051010587103,0.048329024915488725,0.1448831305261315,,51494100000.00001,53149100000.00001,166.11,310000000.0,236359000000.0,5358000000.0,11423000000.0,16624000000.0,3328000000.0,1673000000.0,1.2323032978447157
APA,ENERGY & TRANSPORTATION,2.4,1.4772325698386475,1.3426443665249634,0.19978448275862065,1.0026315789473683,0.5,0.0,3.514477784702386,3.2193997040794757,1.1212497883149872,,,0.46858594411515664,,1.8199112238427393,,6620980000.0,15230980000.0,18.29,362000000.0,,2767000000.0,4731000000.0,5905000000.0,8717000000.0,107000000.0,0.8045007032348804
CTRA,ENERGY & TRANSPORTATION,2.6,2.9818972283402316,3.328299591569181,0.36272960674626364,0.5223360902255638,0.0,0.0,7.525120622568093,6.0063250064383205,1.328631492168178,1.6798019629983496,,0.17655949436658422,0.33727091114392427,1.0257532835436518,204.3684210526316,19339560000.0,23322560000.0,25.38,762000000.0,11513000000.0,2570000000.0,3883000000.0,14556000000.0,4175000000.0,192000000.0,1.1257396449704142
DAL,ENERGY & TRANSPORTATION,2.6,2.1012688043392442,2.4735686497346947,0.5285771687400851,0.880827067669173,0.5,0.0,6.438827309236948,4.68777130977131,1.8386100917431192,0.29839344872510704,,0.2855504587155963,0.0895216824865066,1.3545738045738045,,32065360000.0,45096360000.0,49.18,652000000.0,107460000000.0,4980000000.0,9620000000.0,17440000000.0,16362000000.0,3331000000.0,0.3846046088113749
EOG,ENERGY & TRANSPORTATION,2.8,3.107242880054485,3.8159910798786734,0.20549777698922939,0.303812030075188,0.0,0.0,6.0982438707280835,4.720908626477886,2.245909090909091,1.6251117380651867,,0.368287844585813,0.3390996609498354,-0.0715224054882499,415.2121212121212,65665890000.0,64685890000.0,119.61,549000000.0,40407000000.0,10768000000.0,13702000000.0,29238000000.0,4236000000.0,5216000000.0,1.786473429951691
UPS,ENERGY & TRANSPORTATION,2.8,3.1536992457136614,3.4634914629037765,0.37563089671871086,0.6076939849624059,0.0,0.0,9.257649346440532,5.51883516716039,5.441146666666667,0.5664002696575745,0.11022419877416129,0.5877460317460318,0.12494134286828418,0.9855057130765975,64.1948717948718,85698060000.0,104328060000.0,100.94,849000000.0,151303000000.0,9257000000.0,18904000000.0,15750000000.0,24824000000.0,6194000000.0,1.3237359550561798
UAL,ENERGY & TRANSPORTATION,2.9,2.142819968303066,2.5894829306559717,0.48649181765049676,1.0736842105263158,0.5,0.0,5.3809340839303985,5.576621027222743,1.9655920885366036,0.2648049463557145,,0.3652882674044717,0.07512214778622878,2.0516293415582676,,26285863000.0,41584863000.0,79.63,330100000.0,99265000000.0,4885000000.0,7457000000.0,13373000000.0,24653000000.0,9354000000.0,0.6987444812362031
FDX,ENERGY & TRANSPORTATION,3.1,3.08925473905372,4.018009210056785,0.6354507597895968,1.0195488721804513,0.0,0.0,9.812813998934091,8.852320253164557,1.967526180807865,0.36012967876958385,,0.20050580608392107,0.05150639918111345,1.860379746835443,,55236330000.0,69933330000.0,227.31,243000000.0,153379000000.0,5629000000.0,7900000000.0,28074000000.0,20199000000.0,5502000000.0,1.193043929660632
FE,ENERGY & TRANSPORTATION,3.4,3.0568525336970147,3.7404370510363982,0.4127661350922602,0.6616466165413535,0.5,0.0,11.794363912823112,3.2573430735930735,1.8107758151116644,0.9464849914585537,,0.15352890825616683,0.30065891157569347,0.10930735930735931,14.957377049180328,23270280000.0,24078280000.0,40.26,578000000.0,24586000000.0,1973000000.0,7392000000.0,12851000000.0,1377000000.0,569000000.0,0.6143084823800248
